name,width,height,moyenne_gradient_norme,densite_contours,ratio_rouge,ratio_vert,ratio_bleu,is_color,hist0,hist1,hist2,hist3,hist4,hist5,hist6,hist7,hist8,hist9,hist10,hist11,hist12,hist13,hist14,hist15,hist16,hist17,hist18,hist19,hist20,hist21,hist22,hist23,hist24,hist25,hist26,hist27,hist28,hist29,hist30,hist31,hist32,hist33,hist34,hist35,hist36,hist37,hist38,hist39,hist40,hist41,hist42,hist43,hist44,hist45,hist46,hist47,hist48,hist49,hist50,hist51,hist52,hist53,hist54,hist55,hist56,hist57,hist58,hist59,hist60,hist61,hist62,hist63,hist64,hist65,hist66,hist67,hist68,hist69,hist70,hist71,hist72,hist73,hist74,hist75,hist76,hist77,hist78,hist79,hist80,hist81,hist82,hist83,hist84,hist85,hist86,hist87,hist88,hist89,hist90,hist91,hist92,hist93,hist94,hist95,hist96,hist97,hist98,hist99,hist100,hist101,hist102,hist103,hist104,hist105,hist106,hist107,hist108,hist109,hist110,hist111,hist112,hist113,hist114,hist115,hist116,hist117,hist118,hist119,hist120,hist121,hist122,hist123,hist124,hist125,hist126,hist127,hist128,hist129,hist130,hist131,hist132,hist133,hist134,hist135,hist136,hist137,hist138,hist139,hist140,hist141,hist142,hist143,hist144,hist145,hist146,hist147,hist148,hist149,hist150,hist151,hist152,hist153,hist154,hist155,hist156,hist157,hist158,hist159,hist160,hist161,hist162,hist163,hist164,hist165,hist166,hist167,hist168,hist169,hist170,hist171,hist172,hist173,hist174,hist175,hist176,hist177,hist178,hist179,hist180,hist181,hist182,hist183,hist184,hist185,hist186,hist187,hist188,hist189,hist190,hist191,hist192,hist193,hist194,hist195,hist196,hist197,hist198,hist199,hist200,hist201,hist202,hist203,hist204,hist205,hist206,hist207,hist208,hist209,hist210,hist211,hist212,hist213,hist214,hist215,hist216,hist217,hist218,hist219,hist220,hist221,hist222,hist223,hist224,hist225,hist226,hist227,hist228,hist229,hist230,hist231,hist232,hist233,hist234,hist235,hist236,hist237,hist238,hist239,hist240,hist241,hist242,hist243,hist244,hist245,hist246,hist247,hist248,hist249,hist250,hist251,hist252,hist253,hist254,hist255
./archivePPMPGM/archive10pgm/arbre2.pgm,480,322,0.046436,0.006623,0.333333,0.333333,0.333333,0,0.000045,0.000304,0.000382,0.000518,0.000511,0.000854,0.000996,0.001288,0.001585,0.001986,0.002226,0.002051,0.002239,0.002232,0.002271,0.002394,0.002575,0.002484,0.002387,0.002264,0.002627,0.002575,0.002679,0.002776,0.002814,0.002918,0.002924,0.003015,0.002976,0.003351,0.003157,0.003222,0.003397,0.003571,0.003778,0.003733,0.003778,0.004037,0.004257,0.004128,0.004820,0.004717,0.005066,0.005280,0.005144,0.005079,0.005221,0.005939,0.005558,0.006101,0.006211,0.006153,0.006573,0.007020,0.006658,0.006632,0.007052,0.007091,0.007660,0.007686,0.007660,0.007673,0.007777,0.008333,0.007738,0.008113,0.008398,0.008191,0.008204,0.008146,0.007990,0.008346,0.008314,0.008262,0.008346,0.008288,0.008689,0.007790,0.008437,0.008405,0.008327,0.008029,0.008100,0.008042,0.008301,0.007848,0.007971,0.007822,0.007305,0.007421,0.007259,0.007479,0.007246,0.007363,0.007123,0.006515,0.006573,0.006392,0.006250,0.005914,0.005480,0.005849,0.006134,0.005927,0.006114,0.006030,0.005965,0.006237,0.006548,0.006839,0.006256,0.006224,0.006476,0.006645,0.006768,0.007589,0.007330,0.007208,0.008379,0.007447,0.006580,0.007026,0.005875,0.005855,0.006308,0.007117,0.008935,0.007576,0.007311,0.007673,0.008049,0.008980,0.008540,0.010294,0.009770,0.010080,0.012552,0.014978,0.010591,0.012164,0.011847,0.010559,0.012060,0.010158,0.010604,0.010093,0.010481,0.010048,0.008288,0.009938,0.009239,0.006819,0.006806,0.005551,0.006865,0.003804,0.002750,0.002911,0.001093,0.000751,0.000505,0.000453,0.000453,0.000382,0.000382,0.000323,0.000239,0.000311,0.000317,0.000317,0.000278,0.000278,0.000298,0.000330,0.000246,0.000278,0.000252,0.000162,0.000265,0.000246,0.000214,0.000201,0.000201,0.000142,0.000214,0.000194,0.000162,0.000181,0.000188,0.000220,0.000188,0.000226,0.000188,0.000155,0.000194,0.000201,0.000142,0.000214,0.000155,0.000091,0.000149,0.000136,0.000136,0.000129,0.000097,0.000110,0.000110,0.000065,0.000116,0.000065,0.000142,0.000084,0.000091,0.000123,0.000071,0.000065,0.000071,0.000058,0.000026,0.000065,0.000039,0.000045,0.000026,0.000078,0.000026,0.000032,0.000032,0.000013,0.000019,0.000019,0.000013,0.000006,0.000026,0.000006,0.000000,0.000000,0.000000,0.000000,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
./archivePPMPGM/archive10pgm/arbre2.pgm,480,322,0.046436,0.006623,0.333333,0.333333,0.333333,0,0.000045,0.000304,0.000382,0.000518,0.000511,0.000854,0.000996,0.001288,0.001585,0.001986,0.002226,0.002051,0.002239,0.002232,0.002271,0.002394,0.002575,0.002484,0.002387,0.002264,0.002627,0.002575,0.002679,0.002776,0.002814,0.002918,0.002924,0.003015,0.002976,0.003351,0.003157,0.003222,0.003397,0.003571,0.003778,0.003733,0.003778,0.004037,0.004257,0.004128,0.004820,0.004717,0.005066,0.005280,0.005144,0.005079,0.005221,0.005939,0.005558,0.006101,0.006211,0.006153,0.006573,0.007020,0.006658,0.006632,0.007052,0.007091,0.007660,0.007686,0.007660,0.007673,0.007777,0.008333,0.007738,0.008113,0.008398,0.008191,0.008204,0.008146,0.007990,0.008346,0.008314,0.008262,0.008346,0.008288,0.008689,0.007790,0.008437,0.008405,0.008327,0.008029,0.008100,0.008042,0.008301,0.007848,0.007971,0.007822,0.007305,0.007421,0.007259,0.007479,0.007246,0.007363,0.007123,0.006515,0.006573,0.006392,0.006250,0.005914,0.005480,0.005849,0.006134,0.005927,0.006114,0.006030,0.005965,0.006237,0.006548,0.006839,0.006256,0.006224,0.006476,0.006645,0.006768,0.007589,0.007330,0.007208,0.008379,0.007447,0.006580,0.007026,0.005875,0.005855,0.006308,0.007117,0.008935,0.007576,0.007311,0.007673,0.008049,0.008980,0.008540,0.010294,0.009770,0.010080,0.012552,0.014978,0.010591,0.012164,0.011847,0.010559,0.012060,0.010158,0.010604,0.010093,0.010481,0.010048,0.008288,0.009938,0.009239,0.006819,0.006806,0.005551,0.006865,0.003804,0.002750,0.002911,0.001093,0.000751,0.000505,0.000453,0.000453,0.000382,0.000382,0.000323,0.000239,0.000311,0.000317,0.000317,0.000278,0.000278,0.000298,0.000330,0.000246,0.000278,0.000252,0.000162,0.000265,0.000246,0.000214,0.000201,0.000201,0.000142,0.000214,0.000194,0.000162,0.000181,0.000188,0.000220,0.000188,0.000226,0.000188,0.000155,0.000194,0.000201,0.000142,0.000214,0.000155,0.000091,0.000149,0.000136,0.000136,0.000129,0.000097,0.000110,0.000110,0.000065,0.000116,0.000065,0.000142,0.000084,0.000091,0.000123,0.000071,0.000065,0.000071,0.000058,0.000026,0.000065,0.000039,0.000045,0.000026,0.000078,0.000026,0.000032,0.000032,0.000013,0.000019,0.000019,0.000013,0.000006,0.000026,0.000006,0.000000,0.000000,0.000000,0.000000,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000./archivePPMPGM/archive10pgm/arbre1.pgm,322,480,0.081254,0.027844,0.333333,0.333333,0.333333,0,0.000848,0.004283,0.003300,0.002491,0.002472,0.002834,0.002601,0.002931,0.003216,0.003041,0.003578,0.003649,0.003701,0.004102,0.003772,0.004063,0.004044,0.004186,0.003986,0.004193,0.004354,0.004781,0.004749,0.004523,0.004613,0.004561,0.004807,0.004852,0.005066,0.004995,0.005241,0.005137,0.005448,0.005797,0.005396,0.005985,0.005829,0.005810,0.006075,0.006276,0.006282,0.006476,0.006341,0.006502,0.006489,0.006787,0.006431,0.006832,0.006683,0.007285,0.007169,0.007220,0.006955,0.007123,0.006962,0.007065,0.007589,0.007182,0.007796,0.007984,0.008223,0.007745,0.008223,0.008210,0.008605,0.008165,0.008443,0.008463,0.008747,0.008838,0.008489,0.008320,0.008786,0.008301,0.008696,0.008210,0.008534,0.008579,0.008075,0.008139,0.008197,0.007874,0.007770,0.007880,0.007958,0.007512,0.007479,0.007563,0.007576,0.007453,0.007175,0.006891,0.006658,0.006903,0.006845,0.006431,0.006295,0.005745,0.006043,0.005959,0.005952,0.005189,0.005377,0.005603,0.005234,0.004962,0.004975,0.005072,0.004975,0.004794,0.004413,0.004613,0.004730,0.003927,0.004154,0.003617,0.003850,0.003882,0.003766,0.003429,0.003487,0.003487,0.003539,0.003339,0.003364,0.003397,0.003112,0.003261,0.003002,0.002789,0.002957,0.003293,0.003209,0.003119,0.003229,0.003125,0.003125,0.003222,0.003746,0.003921,0.004011,0.003843,0.004205,0.003934,0.004354,0.003960,0.004160,0.004587,0.004348,0.004037,0.004956,0.004406,0.005066,0.005435,0.005480,0.006502,0.006153,0.006923,0.006237,0.005991,0.006172,0.006425,0.006910,0.007479,0.007738,0.007162,0.006599,0.008469,0.007343,0.006302,0.007052,0.006502,0.006024,0.006134,0.004438,0.004167,0.002886,0.002517,0.000776,0.000498,0.000408,0.000356,0.000446,0.000265,0.000317,0.000298,0.000278,0.000239,0.000252,0.000233,0.000226,0.000252,0.000188,0.000220,0.000168,0.000259,0.000201,0.000194,0.000259,0.000175,0.000149,0.000194,0.000162,0.000220,0.000136,0.000194,0.000181,0.000226,0.000142,0.000097,0.000104,0.000181,0.000233,0.000123,0.000123,0.000116,0.000142,0.000168,0.000142,0.000162,0.000162,0.000136,0.000155,0.000149,0.000058,0.000123,0.000097,0.000110,0.000110,0.000155,0.000065,0.000097,0.000071,0.000078,0.000065,0.000071,0.000097,0.000110,0.000058,0.000052,0.000019,0.000091,0.000032,0.000071,0.000045,0.000045,0.000032,0.000026,0.000006,0.000006,0.000013,0.000000,0.000000,0.000000,0.000000,0.000000
./archivePPMPGM/archive10pgm/arbre1.pgm,322,480,0.081254,0.027844,0.333333,0.333333,0.333333,0,0.000848,0.004283,0.003300,0.002491,0.002472,0.002834,0.002601,0.002931,0.003216,0.003041,0.003578,0.003649,0.003701,0.004102,0.003772,0.004063,0.004044,0.004186,0.003986,0.004193,0.004354,0.004781,0.004749,0.004523,0.004613,0.004561,0.004807,0.004852,0.005066,0.004995,0.005241,0.005137,0.005448,0.005797,0.005396,0.005985,0.005829,0.005810,0.006075,0.006276,0.006282,0.006476,0.006341,0.006502,0.006489,0.006787,0.006431,0.006832,0.006683,0.007285,0.007169,0.007220,0.006955,0.007123,0.006962,0.007065,0.007589,0.007182,0.007796,0.007984,0.008223,0.007745,0.008223,0.008210,0.008605,0.008165,0.008443,0.008463,0.008747,0.008838,0.008489,0.008320,0.008786,0.008301,0.008696,0.008210,0.008534,0.008579,0.008075,0.008139,0.008197,0.007874,0.007770,0.007880,0.007958,0.007512,0.007479,0.007563,0.007576,0.007453,0.007175,0.006891,0.006658,0.006903,0.006845,0.006431,0.006295,0.005745,0.006043,0.005959,0.005952,0.005189,0.005377,0.005603,0.005234,0.004962,0.004975,0.005072,0.004975,0.004794,0.004413,0.004613,0.004730,0.003927,0.004154,0.003617,0.003850,0.003882,0.003766,0.003429,0.003487,0.003487,0.003539,0.003339,0.003364,0.003397,0.003112,0.003261,0.003002,0.002789,0.002957,0.003293,0.003209,0.003119,0.003229,0.003125,0.003125,0.003222,0.003746,0.003921,0.004011,0.003843,0.004205,0.003934,0.004354,0.003960,0.004160,0.004587,0.004348,0.004037,0.004956,0.004406,0.005066,0.005435,0.005480,0.006502,0.006153,0.006923,0.006237,0.005991,0.006172,0.006425,0.006910,0.007479,0.007738,0.007162,0.006599,0.008469,0.007343,0.006302,0.007052,0.006502,0.006024,0.006134,0.004438,0.004167,0.002886,0.002517,0.000776,0.000498,0.000408,0.000356,0.000446,0.000265,0.000317,0.000298,0.000278,0.000239,0.000252,0.000233,0.000226,0.000252,0.000188,0.000220,0.000168,0.000259,0.000201,0.000194,0.000259,0.000175,0.000149,0.000194,0.000162,0.000220,0.000136,0.000194,0.000181,0.000226,0.000142,0.000097,0.000104,0.000181,0.000233,0.000123,0.000123,0.000116,0.000142,0.000168,0.000142,0.000162,0.000162,0.000136,0.000155,0.000149,0.000058,0.000123,0.000097,0.000110,0.000110,0.000155,0.000065,0.000097,0.000071,0.000078,0.000065,0.000071,0.000097,0.000110,0.000058,0.000052,0.000019,0.000091,0.000032,0.000071,0.000045,0.000045,0.000032,0.000026,0.000006,0.000006,0.000013,0.000000,0.000000,0.000000,0.000000,0.000000
